ts,tx_diff,tx_inflight,timeout_diff,timeout_inflight,retry_tx_max,retry_timeout_max,dlq_tx_exists,dlq_timeout_exists
2026-04-02 20:13:24,8,8,0,0,0,0,0,0
2026-04-02 20:14:46,0,0,0,0,0,0,0,0
2026-04-02 20:15:47,0,0,0,0,0,0,0,0
2026-04-02 20:16:46,0,0,0,0,0,0,0,0
2026-04-02 20:17:45,0,0,0,0,0,0,0,0
2026-04-02 20:18:44,0,0,0,0,0,0,0,0
2026-04-02 20:19:40,0,0,15,15,0,0,0,0
2026-04-02 20:20:35,0,0,0,0,0,0,0,0
2026-04-02 20:21:29,0,0,0,0,0,0,0,0
2026-04-02 20:22:24,0,0,0,0,0,0,0,0
2026-04-02 20:23:19,0,0,0,0,0,0,0,0
2026-04-02 20:24:14,0,0,0,0,0,0,0,0
2026-04-02 20:25:09,0,0,0,0,0,0,0,0
2026-04-02 20:26:03,0,0,0,0,0,0,0,0
2026-04-02 20:26:58,0,0,0,0,0,0,0,0
2026-04-02 20:27:53,0,0,0,0,0,0,0,0
2026-04-02 20:28:48,0,0,0,0,0,0,0,0
2026-04-02 20:29:42,0,0,0,0,0,0,0,0
2026-04-02 20:30:37,0,0,0,0,0,0,0,0
2026-04-02 20:31:32,0,0,0,0,0,0,0,0
2026-04-02 20:32:27,0,0,0,0,0,0,0,0
2026-04-02 20:33:22,0,0,0,0,0,0,0,0
2026-04-02 20:34:18,0,0,0,0,0,0,0,0
2026-04-02 20:35:15,0,0,0,0,0,0,0,0
